time_decimal,value
1990.986301369863,354.43
1990.9890410958903,355.22
1990.9917808219177,355.84
1990.9945205479453,355.02
1990.9972602739729,355.82
1991.0,355.04
1991.0027397260276,354.81
1991.0054794520547,354.3
1991.0082191780823,354.19
1991.0109589041097,354.41
1991.013698630137,354.3
1991.019178082192,354.33
1991.021917808219,354.26
1991.024657534247,354.47
1991.027397260274,354.93
1991.0301369863012,355.26
1991.035616438356,354.74
1991.0383561643837,354.92
1991.041095890411,355.19
1991.0438356164384,355.07
1991.0465753424655,354.88
1991.049315068493,355.33
1991.0520547945205,356.44
1991.054794520548,355.31
1991.0575342465756,354.17
1991.0602739726028,354.83
1991.06301369863,354.66
1991.0657534246573,354.49
1991.0684931506848,354.69
1991.0712328767124,355.82
1991.0767123287671,355.7
1991.0794520547945,355.68
1991.0821917808216,355.8
1991.0849315068488,355.58
1991.0876712328768,355.04
1991.090410958904,354.83
1991.0931506849315,355.18
1991.0958904109589,355.48
1991.0986301369865,355.59
1991.1013698630136,355.58
1991.1041095890407,355.41
1991.1068493150683,355.25
1991.109589041096,355.57
1991.1150684931504,355.25
1991.1178082191784,355.24
1991.120547945205,356.48
1991.123287671233,356.6
1991.1260273972605,356.18
1991.128767123288,357.06
1991.131506849315,357.22
1991.13698630137,356.08
1991.1397260273973,356.17
1991.1424657534249,356.64
1991.145205479452,356.1
1991.1479452054796,355.97
1991.150684931507,355.85
1991.1534246575343,355.58
1991.1561643835616,355.95
1991.158904109589,355.52
1991.1616438356164,355.27
